1123123,Manos,Manolopoulos,Kolokotroni 16,6942467543,Manos@mail.com,manos,manos123,user,FALSE
1231233,Panos,Panopoulos,Argiroupoleos 32,6978451245,Panos@mail.com,panos,panos123,user,FALSE
3331323,Giannis,Giannopoulos,Eptanisou 125,698965441,Giannis@mail.com,giannis,giannis123,user,FALSE
4141414,Iraklis,Irakleous,Aristotelous 32,6975426987,Iraklis@mail.com,iraklis,iraklis123,user,FALSE
4133331,Dimitrios,Dimitropoulos,Agiou Dimitriou 1,6974326598,Dimitrios@mail.com,dimitrios,dimitrios123,user,FALSE
2332442,Thanos,Thanopoulos,Attikis 5,6935465254,Thanos@mail.com,thanos,thanos123,user,FALSE
4141413,Maria,Mariopoulou,Peloponnisou 3,6935465212,Maria@mail.com,maria,maria123,user,FALSE
4155111,Konstantina,Dimitriou,Dimitrakopoulou 241,6935465215,Konstantina@mail.com,konstantina,konstantina123,user,FALSE
6616344,Thanasis,Kitsos,Athanasiou Diakou 5,6935465321,Thanasis@mail.com,thanasis,thanasis123,user,FALSE
4135315,Athanasios,Dimitrakopoulos,Militou 128,6935465324,Athanasios@mail.com,athanasios,athanasios123,user,FALSE
11111,Test,Test,test,6976767677,test@test.te ,test,test,admin,FALSE
